::1 - Mon Oct 17 2022 10:18:48 GMT+0530 (India Standard Time) - OPTIONS /api/artwork-type HTTP/1.1 200 8 - 1 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:18:48 GMT+0530 (India Standard Time) - GET /api/artwork-type HTTP/1.1 304 - - 11 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:19:26 GMT+0530 (India Standard Time) - GET /artist HTTP/1.1 200 49 - 14 - PostmanRuntime/7.29.2
::1 - Mon Oct 17 2022 10:19:33 GMT+0530 (India Standard Time) - GET /artist/name HTTP/1.1 200 49 - 3 - PostmanRuntime/7.29.2
::1 - Mon Oct 17 2022 10:19:40 GMT+0530 (India Standard Time) - OPTIONS /volunteer-program HTTP/1.1 200 24 - 1 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:19:40 GMT+0530 (India Standard Time) - GET /volunteer-program HTTP/1.1 304 - - 2 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:19:45 GMT+0530 (India Standard Time) - OPTIONS /api/artist-type HTTP/1.1 200 8 - 1 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:19:45 GMT+0530 (India Standard Time) - OPTIONS /api/artist?type=&filter= HTTP/1.1 200 8 - 1 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:19:45 GMT+0530 (India Standard Time) - GET /api/artist-type HTTP/1.1 304 - - 3 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:19:45 GMT+0530 (India Standard Time) - GET /api/artist?type=&filter= HTTP/1.1 304 - - 8 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:20:59 GMT+0530 (India Standard Time) - GET /artist/name HTTP/1.1 401 59 - 5 - PostmanRuntime/7.29.2
::1 - Mon Oct 17 2022 10:25:56 GMT+0530 (India Standard Time) - POST /artist/ HTTP/1.1 500 35 - 25 - PostmanRuntime/7.29.2
::1 - Mon Oct 17 2022 10:57:03 GMT+0530 (India Standard Time) - OPTIONS /volunteer-program HTTP/1.1 200 24 - 3 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:57:03 GMT+0530 (India Standard Time) - OPTIONS /api/artist-type HTTP/1.1 200 8 - 1 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:57:03 GMT+0530 (India Standard Time) - OPTIONS /api/artist?type=&filter= HTTP/1.1 200 8 - 1 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:57:03 GMT+0530 (India Standard Time) - GET /volunteer-program HTTP/1.1 304 - - 34 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
